,Name,Phone Number,Address,Pincode,Website,Social Media Link
0,RC Kataria Nursery,+91 9891908221,"House No. 1, Mathura Road, Nizamuddin, Delhi - 110013",110013,https://r-c-kataria-nursery.business.site,https://www.instagram.com/rckatarianursery/
1,City Nursery,+91 9891114999,"Plot No. 48, Greater Kailash, Delhi - 110048",110048,,
2,Rajesh Nursery,+91 9213672295,"Plot No. F/3, Gali No 1, Badkhal Road, Memorial Nagar, Badli, Delhi - 121009",121009,,
3,New Delhi Nursery,+91 9210774696,"Rajokri, Jamia Nagar, Delhi - 110044",110044,,
4,Eco Planners Pvt. Ltd.,45553919,"Office No. C-2, Tikona Park Gulmohar Avenue, Jamia Nagar, Delhi - 110025",110025,,
5,Gulmohar Farm & Nursery,+91 9891484872,"Office No. C-2, Tikona Park Gulmohar Avenue, Jamia Nagar, Delhi - 110025",110025,,
6,Green valley india,+91 9868431800,"No. B-1/221, Main Road, Janakpuri, Delhi - 110058",110058,http://www.greenvalleylimited.com,
7,HP Greens,+91 9810943383,"No. B-1/221, Main Road, Janakpuri, Delhi - 110058",110058,,
8,Deepak Nursery,+91 7838308762,",Main Street, Kavi Nagar, Nasirpur, Delhi - 110048",110048,,https://www.instagram.com/deepaknursery/?hl=en
9,Aarzoo Decorations,+91 8700089503,"IFFCO House ,No. 34, Nehru Place, Delhi - 110019",110019,,
10,IFFCO Kisan Urban Greens,+91 9891961837,"IFFCO House ,No. 34, Nehru Place, Delhi - 110019",110019,http://www.iffcokisan.com/home/urban-greens,https://www.facebook.com/IFFCOKisanUrbanGreens/
11,Grow Heaven Private Limited,+91 9013313188,"204, Sunrise Apartment, Pocket 6, Nasirpur, Nasirpur, Delhi - 110045",110045,,
12,Murli Gangwal,+91 7838474671,"No. 3/255, Kachi Kajuri, Gali No. 1,Shastri Park, Shahdara, Delhi - 110053",110053,,
13,Chand Nursery,+91 7524844270,"No. 3/255, Kachi Kajuri, Gali No. 1,Shastri Park, Shahdara, Delhi - 110053",110053,,
14,Gulmohar Nursery,+91 9891484872,"No. C-2, Gulmohar Avenue, Jamia Nagar, Delhi - 110025",110025,,
15,Pritam Nursery,+91 9212254632,"Prem Farm House, Bakhtawarpur road, Hiranki, Delhi-110036",110036,https://www.pritamnursery.com,https://www.facebook.com/pritamnursery/
16,Green Decor - Delhi Based Best Online Nursery to Buy Plants Online in India,099535 72573,"plot no 400 vikas nagar, Nilothi, Delhi - 110015",110015,https://www.greendecor.in,https://www.facebook.com/greendecor.in/
17,plant Center,+91 9818112384,"plot no 400 vikas nagar, Nilothi, Delhi - 110015",110015,,
18,Sagar Kashyap,+91 9718184612,"H.no125 bamnoli village, Bijwasan, Delhi - 110077",110077,,
19,Bananatree.in,+91 9899134476,"UDAY VIHAR PART 2 NILOTHI EXTN, Nilothi, delhi - 110041",110041,,
20,Sk Green House,+91 9625691776,"UDAY VIHAR PART 2 NILOTHI EXTN, Nilothi, delhi - 110041",110041,,
21,Gola Nurseries,+91 9560867206,"F2/5A, Ratiya Marg Sangam Vihar,, Rajouri Garden, Delhi - 110062",110062,,
22,Realistic Plants,+91 9560308158,"Sagar Pur, Janakpuri, delhi - 110046",110046,,
23,SDR Sales,+91 9871879267,"UDAY VIHAR PART 2 NILOTHI EXTN, Nilothi, delhi - 110041",110025,https://sdr-sales.business.site,
24,Utthaan,+91 7827615862,"C-710 new friends colony, New Friends Colony, delhi - 110025",110025,https://www.utthaan.in,https://www.facebook.com/Project-Utthaan-LSR-110079803826272/?fref=tag
25,Mali Kaka Plants Nursery,+91 8851296520,"Block J, Kirti Nagar, Delhi - 110015",110015,https://malikakaplantsnursery.business.site,https://www.facebook.com/malikakadelhincr/
26,VERDURE,+91 8810374478,"Block J, Kirti Nagar, Delhi - 110015",110015,,
27,Green Aura Nursery,+91 8711660590,"Gurgaon - Delhi Expy, D Block, Samalka, New Delhi, Delhi 110037",110094,https://www.greenauranursery.com/location,https://www.facebook.com/GREEN-AURA-Nursery-109529237221906/
28,Ganga Fabricators,+91 9354825751,"Johripur mangatram Road, Govind Vihar, New Mustafabad, Delhi, 110094, New Mustafabad, Delhi - 110094",110094,,
29,Ferns N Petals Pvt. Ltd.,+91 9212428500,"No.6, Underhill Road, Timarpur, Delhi - 110054",110054,https://www.fnp.com,https://www.facebook.com/fernsnpetalsindia/
30,Green Care Nursery & Gardening Shop,+91 9013121717,"No. 34, Main Patel Road, Pillar No. 232,West Patel Nagar, Patel Nagar, Delhi - 110008",110008,,
31,Ruby Green Nursery,+91 9958190005,"Andheriya Mode Chowk, Vasant Kunj, Delhi - 110070",110070,,https://www.facebook.com/Ruby-Green-Nursery-700690783698060/
32,Phool Paudhon KE Vikreta,+91 9818485069,"No. A129, Mangal Bazaar Chowk, Uttam Nagar, Delhi - 110059",110059,,
33,Nafees Gamle Wale,+91 9250710174,"Ground Floor, Sector 7, Gokul Garden, Palam Village, Delhi - 110045",110045,,
34,Rosi Agroteche,26256524,"D-44, 2n Floor, South Extension Part II, Delhi - 110049",110049,,
35,Abhi Nursery,+91 9990504144,"Main Noida Road, Kalindi Kunj Park,Shaheed Bhagat Singh Colony, Karawal Nagar, Delhi - 110025",110025,,
36,Gautam Nursery,+91 7531039103,"No. 16, D Block, Sarita Vihar, Delhi - 110076",110076,,
37,Plant Your Trees,+91 9455847725,"DSM-365, DLF Towers,15 Shivaji Marg, Najafgarh Road, Moti Nagar, Delhi - 110015",110015,,
38,Garden Hut,+91 9810164615,"99, Sri Aurobindo Marg, Malviya Nagar, Delhi - 110017",110017,,
39,Plantex,26891221,"C-1/1008, Vasant Kunj, Delhi - 110070",110070,,https://www.instagram.com/plantex_nursery/
